Rank,Title,Rating,Episodes,URL,Members_Votes,Type,Start Date,Finish Date,Premiered,R-Rating,Generes,Source,Studio
68,Ping Pong the Animation,8.62, (11 eps),https://myanimelist.net/anime/22135/Ping_Pong_the_Animation,"323,155 ",TV,Apr 2014 , Jun 2014,Premiered: Spring 2014,unkown,unkown,unkown,unkown
69,Shingeki no Kyojin Season 3,8.62, (12 eps),https://myanimelist.net/anime/35760/Shingeki_no_Kyojin_Season_3,"1,778,041 ",TV,Jul 2018 , Oct 2018,Premiered: Summer 2018,unkown,unkown,unkown,unkown
70,Mushishi Zoku Shou: Suzu no Shizuku,8.61, (1 eps),https://myanimelist.net/anime/28957/Mushishi_Zoku_Shou__Suzu_no_Shizuku,"109,997 ",Movie,May 2015 , May 2015,,unkown,unkown,unkown,unkown
71,Kimetsu no Yaiba: Yuukaku-hen,8.61, (? eps),https://myanimelist.net/anime/47778/Kimetsu_no_Yaiba__Yuukaku-hen,"427,133 ",TV,Dec 2021 ,,Premiered: Winter 2022,unkown,unkown,unkown,unkown
72,Kizumonogatari II: Nekketsu-hen,8.6, (1 eps),https://myanimelist.net/anime/31757/Kizumonogatari_II__Nekketsu-hen,"370,482 ",Movie,Aug 2016 , Aug 2016,,unkown,unkown,unkown,unkown
73,Ookami Kodomo no Ame to Yuki,8.6, (1 eps),https://myanimelist.net/anime/12355/Ookami_Kodomo_no_Ame_to_Yuki,"703,715 ",Movie,Jul 2012 , Jul 2012,,unkown,unkown,unkown,unkown
74,Shouwa Genroku Rakugo Shinjuu,8.59, (13 eps),https://myanimelist.net/anime/28735/Shouwa_Genroku_Rakugo_Shinjuu,"253,768 ",TV,Jan 2016 , Apr 2016,Premiered: Winter 2016,unkown,unkown,unkown,unkown
75,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,8.59, (39 eps),https://myanimelist.net/anime/37991/JoJo_no_Kimyou_na_Bouken_Part_5__Ougon_no_Kaze,"761,058 ",TV,Oct 2018 , Jul 2019,Premiered: Fall 2018,unkown,unkown,unkown,unkown
76,Fate/Zero 2nd Season,8.58, (12 eps),https://myanimelist.net/anime/11741/Fate_Zero_2nd_Season,"953,405 ",TV,Apr 2012 , Jun 2012,Premiered: Spring 2012,unkown,unkown,unkown,unkown
77,Hajime no Ippo: Rising,8.58, (25 eps),https://myanimelist.net/anime/19647/Hajime_no_Ippo__Rising,"203,874 ",TV,Oct 2013 , Mar 2014,Premiered: Fall 2013,unkown,unkown,unkown,unkown
78,Kimi no Suizou wo Tabetai,8.58, (1 eps),https://myanimelist.net/anime/36098/Kimi_no_Suizou_wo_Tabetai,"688,373 ",Movie,Sep 2018 , Sep 2018,,unkown,unkown,unkown,unkown
